Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2016-02-29,27.3,29.66,26.95,29.14,3.23,29.44,665083.0,242314.0
2016-01-31,33.7,34.4,32.65,33.74,0.4,33.62,611048.0,608831.0
2015-12-31,36.81,37.79,36.22,37.07,0.44,37.04,279553.0,436421.0
2015-11-30,41.77,42.61,41.5,41.68,0.06,41.65,366503.0,559391.0
2015-10-31,45.74,47.03,45.48,46.39,0.53,46.59,358472.0,511782.0
2015-09-30,44.92,45.85,44.68,45.34,0.14,45.09,353607.0,448642.0
2015-08-31,45.0,49.33,43.6,48.16,3.98,49.2,753385.0,440212.0
2015-07-31,48.47,48.62,46.7,46.77,1.4,47.12,328276.0,508226.0
2015-06-30,58.27,59.69,57.94,59.4,1.14,59.47,282364.0,331764.0
2015-05-31,57.97,60.7,57.72,60.3,2.62,60.3,451935.0,399553.0
2015-04-30,58.55,59.85,58.38,59.6,1.05,59.63,340317.0,426816.0
2015-03-31,48.73,48.73,47.28,47.6,1.08,47.6,365743.0,479356.0
2015-02-28,48.97,49.94,48.46,49.76,1.59,49.76,399494.0,414582.0
2015-01-31,44.63,48.35,44.31,48.24,3.71,48.24,454108.0,485159.0
2014-12-31,53.87,54.02,52.44,53.27,0.85,53.27,247510.0,309473.0
2014-11-30,73.5,73.56,65.69,66.15,7.54,66.15,552823.0,334009.0
2014-10-31,81.04,81.27,79.55,80.54,0.58,80.54,307610.0,323258.0
2014-09-30,94.34,94.9,90.86,91.0,3.41,91.16,440735.0,275147.0
2014-08-31,94.56,96.0,94.48,95.96,1.41,95.96,234972.0,280113.0
2014-07-31,99.47,99.85,97.6,98.15,2.1,98.17,335785.0,308055.0
2014-06-30,105.69,105.76,104.66,105.37,0.37,105.37,229049.0,293795.0
2014-05-31,103.51,103.56,102.4,102.7,0.87,102.71,185506.0,303623.0
2014-04-30,100.76,100.76,99.35,99.74,1.54,99.74,294775.0,341594.0
2014-03-31,101.69,101.97,100.88,101.58,0.09,101.58,154973.0,334474.0
2014-02-28,102.15,102.96,101.8,102.55,0.19,102.59,163899.0,307986.0
2014-01-31,97.97,98.39,97.1,97.49,,97.49,238147.0,305152.0
2013-12-31,99.25,99.39,98.15,98.42,,98.42,100104.0,259878.0
2013-11-30,92.33,93.9,92.06,92.72,,92.72,126695.0,334786.0
2013-10-31,96.62,97.03,96.03,96.38,,96.38,243565.0,348486.0
2013-09-30,102.46,102.76,101.05,102.33,,102.33,210970.0,307186.0
2013-08-31,108.17,108.75,106.75,107.65,,107.65,239632.0,312225.0
2013-07-31,103.15,105.43,102.93,105.03,,105.03,302976.0,356127.0
2013-06-30,96.81,97.82,96.33,96.56,,96.56,231944.0,270557.0
2013-05-31,93.64,93.85,91.56,91.97,,91.97,252663.0,285093.0
2013-04-30,94.42,94.62,92.86,93.46,,93.46,262468.0,307019.0
2013-03-31,96.68,97.35,96.26,97.23,,97.23,160072.0,296042.0
2013-02-28,92.89,93.18,91.57,92.05,,92.05,206551.0,267936.0
2013-01-31,97.96,98.04,96.84,97.49,,97.49,220648.0,282500.0
2012-12-31,90.41,91.99,90.0,91.82,,91.82,107767.0,277570.0
2012-11-30,87.66,88.99,87.47,88.91,,88.91,202442.0,309470.0
2012-10-31,85.73,87.19,85.61,86.24,,86.24,201337.0,373442.0
2012-09-30,92.35,92.71,91.4,92.19,,92.19,195547.0,309763.0
2012-08-31,94.75,96.92,94.51,96.47,,96.47,231839.0,266071.0
