Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2016-02-29,1247.8,1247.8,1233.5,1238.3,8.8,1239.1,233.0,736.0
2016-01-31,1114.4,1118.7,1108.8,1118.0,0.8,1116.4,6955.0,6470.0
2015-12-31,1060.6,1062.7,1056.5,1060.5,0.4,1060.2,53625.0,280974.0
2015-11-30,1056.5,1068.4,1052.1,1064.4,9.6,1065.8,4601.0,7849.0
2015-10-31,1146.6,1149.8,1138.4,1141.7,5.9,1141.4,110753.0,298145.0
2015-09-30,1124.3,1126.0,1112.1,1115.3,11.6,1115.5,865.0,3092.0
2015-08-31,1132.3,1135.7,1124.8,1133.5,1.5,1132.0,2508.0,27589.0
2015-07-31,1087.7,1102.8,1079.1,1094.9,6.5,1094.9,5700.0,9215.0
2015-06-30,1179.8,1180.0,1165.4,1171.8,7.2,1171.8,148207.0,286114.0
2015-05-31,1187.8,1193.3,1185.7,1189.4,1.3,1189.4,4818.0,8380.0
2015-04-30,1203.1,1205.9,1176.7,1182.4,27.4,1182.4,143.0,226.0
2015-03-31,1185.8,1190.1,1178.2,1183.1,1.7,1183.1,3484.0,7348.0
2015-02-28,1207.7,1217.8,1204.5,1212.6,3.0,1212.6,195.0,173.0
2015-01-31,1258.0,1284.3,1257.0,1278.5,23.9,1278.5,8626.0,8455.0
2014-12-31,1199.8,1203.9,1179.5,1184.1,16.3,1184.1,70517.0,217101.0
2014-11-30,1197.0,1198.3,1163.8,1175.2,21.4,1175.2,11175.0,11507.0
2014-10-31,1199.5,1202.4,1160.5,1166.3,27.0,1171.6,302688.0,273348.0
2014-09-30,1214.8,1218.2,1204.0,1210.5,7.0,1210.5,680.0,2973.0
2014-08-31,1289.8,1291.5,1283.4,1286.5,3.0,1286.5,2253.0,22409.0
2014-07-31,1295.1,1297.3,1280.6,1281.3,13.6,1281.3,5663.0,8920.0
2014-06-30,1316.8,1330.4,1311.0,1322.0,2.0,1322.0,129740.0,257015.0
2014-05-31,1255.1,1259.6,1241.8,1245.6,10.7,1245.6,3839.0,5337.0
2014-04-30,1296.0,1296.5,1286.6,1295.6,0.4,1295.6,181.0,608.0
2014-03-31,1294.3,1298.8,1282.4,1283.4,10.4,1283.4,4121.0,6486.0
2014-02-28,1329.8,1332.6,1321.1,1321.4,10.2,1321.4,239.0,173.0
2014-01-31,1243.6,1254.5,1238.4,1240.1,,1240.1,5820.0,8993.0
2013-12-31,1197.4,1214.0,1181.4,1202.3,,1202.3,124179.0,220149.0
2013-11-30,1237.8,1254.5,1233.7,1250.6,,1250.6,9203.0,10157.0
2013-10-31,1341.7,1343.0,1318.7,1323.7,,1323.7,153176.0,208017.0
2013-09-30,1345.8,1350.9,1322.0,1326.5,,1326.5,597.0,4247.0
2013-08-31,1406.8,1411.2,1391.5,1395.8,,1395.8,3974.0,23758.0
2013-07-31,1325.5,1338.4,1304.9,1312.4,,1312.4,6252.0,6300.0
2013-06-30,1199.5,1234.8,1179.4,1223.7,,1223.7,311540.0,221260.0
2013-05-31,1412.4,1421.1,1384.2,1392.6,,1392.6,5997.0,10513.0
